System,Dataset,Model,Avg_MAPE,Avg_MAE,Avg_RMSE
dconvert,svg-small.csv,DecisionTree,0.027113934888602687,0.015158049551346748,0.01937046041327554
dconvert,svg-small.csv,SVM,0.08288424448705284,0.04550353211762772,0.04992221497472755
h2,smallbank-1.csv,LinearRegression,0.05677846069647547,1117.1896475284436,1342.340807865471
h2,smallbank-1.csv,RandomForest,0.037591398959148516,718.7347604845769,939.0969916085411
h2,smallbank-1.csv,DecisionTree,0.05022625929613722,959.0327577483264,1253.0109313052405
h2,smallbank-1.csv,SVM,0.11236167991836592,2403.2101508405135,3281.8402869615243
h2,smallbank-10.csv,LinearRegression,0.0464606438405219,633.9763072764277,764.3385421140716
h2,smallbank-10.csv,RandomForest,0.021507173456193972,289.6708738907079,395.88414622202487
h2,smallbank-10.csv,DecisionTree,0.028787148540822042,387.72020599730484,534.7119798177501
h2,smallbank-10.csv,SVM,0.11837692144155731,1844.0722203306123,2615.9195658780536
h2,tpcc-2.csv,LinearRegression,0.04130889308828456,30.379632274780217,37.505705462221165
h2,tpcc-2.csv,RandomForest,0.027771105293615646,20.326772848189933,25.758586627451773
h2,tpcc-2.csv,DecisionTree,0.03705080178876403,27.079440857312118,34.95931802057631
h2,tpcc-2.csv,SVM,0.05738246974930145,44.714226269000534,60.85494737456366
h2,tpcc-8.csv,LinearRegression,0.20449439671343392,109.55620776778095,165.10452514773317
h2,tpcc-8.csv,RandomForest,0.20115432218454546,109.05293229537561,173.60257186384987
h2,tpcc-8.csv,DecisionTree,0.21713552796712832,119.40741617623705,230.3134304268414
h2,tpcc-8.csv,SVM,0.19146282888963775,118.42643346779208,180.85140906369315
h2,voter-16.csv,LinearRegression,0.07652637398974037,2429.208637754077,2708.248262202075
h2,voter-16.csv,RandomForest,0.017870237222825523,578.4473954114891,782.3672234125826
h2,voter-16.csv,DecisionTree,0.023591897482037615,766.5191741580469,1049.363836072874
h2,voter-16.csv,SVM,0.15690813620953595,5934.855892945009,8731.02463678333
h2,voter-2.csv,LinearRegression,0.07989202041759992,2523.0022393939403,2803.6625357551598
h2,voter-2.csv,RandomForest,0.01694154724048262,546.1980746674718,777.8372681506202
h2,voter-2.csv,DecisionTree,0.022882355779565305,738.8300401009842,1077.331450782363
h2,voter-2.csv,SVM,0.15671717820596617,6015.834512828179,8956.748399000768
h2,ycsb-2400.csv,LinearRegression,0.08917357796567897,1261.897565620235,1548.0978298527814
h2,ycsb-2400.csv,RandomForest,0.03915382089829556,550.8816118282062,702.5456029045641
h2,ycsb-2400.csv,DecisionTree,0.05400962229663838,756.4996869978326,968.0930600150119
h2,ycsb-2400.csv,SVM,0.09978483847942787,1447.470246844139,2083.6374543188963
h2,ycsb-600.csv,LinearRegression,0.08288693938611157,1686.8954508818085,2096.5857637191516
h2,ycsb-600.csv,RandomForest,0.03399620241106655,700.6681826893849,931.1931283040489
h2,ycsb-600.csv,DecisionTree,0.046105434105524874,951.3935935100426,1280.8797608709158
h2,ycsb-600.csv,SVM,0.12565627270436167,2506.958562143926,3196.106213947894
jump3r,beethoven.wav.csv,LinearRegression,0.2541134770362257,2.2438960084560837,2.887066209770339
jump3r,beethoven.wav.csv,RandomForest,0.15978279110621504,1.6202075401165128,2.379402985805394
jump3r,beethoven.wav.csv,DecisionTree,0.163103054064736,1.6803024420730857,2.6534179075827673
jump3r,beethoven.wav.csv,SVM,0.27352926360975477,2.5836365967367825,3.5763515160597215
jump3r,dual-channel.wav.csv,LinearRegression,0.22589716447353955,0.6019047708466555,0.834903357765826
jump3r,dual-channel.wav.csv,RandomForest,0.15152042565385873,0.4477733404473505,0.6515246237702867
jump3r,dual-channel.wav.csv,DecisionTree,0.15765072197918203,0.46831770737547257,0.7225002001326248
jump3r,dual-channel.wav.csv,SVM,0.26120335711271175,0.7335754835171877,1.0377412451721464
jump3r,helix.wav.csv,LinearRegression,0.2432498957576196,1.063009193201238,1.453500088441653
jump3r,helix.wav.csv,RandomForest,0.15647639759796142,0.8180665371022785,1.236825594172276
jump3r,helix.wav.csv,DecisionTree,0.16346931988633792,0.8634943199286046,1.3926058566728898
jump3r,helix.wav.csv,SVM,0.2781923221345936,1.309958786087386,1.8675722201734952
jump3r,single-channel.wav.csv,LinearRegression,0.18556524512523476,0.3191678049889996,0.4234555254187964
jump3r,single-channel.wav.csv,RandomForest,0.1387499558777547,0.25571699561853656,0.3618010502097415
jump3r,single-channel.wav.csv,DecisionTree,0.14568704620648876,0.2712199511339097,0.40422787785371245
jump3r,single-channel.wav.csv,SVM,0.20361346142898226,0.3730879377803287,0.5069435649389894
jump3r,speech.wav.csv,LinearRegression,0.19502865939210365,0.8008628553492733,1.0140725089272677
jump3r,speech.wav.csv,RandomForest,0.13691123278963493,0.6200391588877212,0.8747269839787603
jump3r,speech.wav.csv,DecisionTree,0.13991810364652132,0.637817556543674,0.9565659914798172
jump3r,speech.wav.csv,SVM,0.2217423206888773,0.9710258684912505,1.3197670437284703
jump3r,sweep.wav.csv,LinearRegression,0.11750519843913715,0.06918797016865867,0.08808887477855724
jump3r,sweep.wav.csv,RandomForest,0.08947108970095928,0.05463268593120252,0.07755878584595555
jump3r,sweep.wav.csv,DecisionTree,0.09483808171719908,0.058044638154419244,0.08439471496938317
jump3r,sweep.wav.csv,SVM,0.13532169096294108,0.07941376233579199,0.1050506716812889
kanzi,ambivert.csv,LinearRegression,1.3994942150906358,16.972200171742816,27.662756098551412
kanzi,ambivert.csv,RandomForest,0.06163774503837086,0.9841019719070765,2.01051237989578
kanzi,ambivert.csv,DecisionTree,0.07453879053846585,1.186307401404646,2.8870541707182653
kanzi,ambivert.csv,SVM,1.428470125781218,21.228474468957746,42.09452404344365
kanzi,artificl.csv,LinearRegression,0.4649746543024457,0.19848269975608804,0.29475644688205094
kanzi,artificl.csv,RandomForest,0.04134948570883946,0.020966990815775244,0.04496575361442107
kanzi,artificl.csv,DecisionTree,0.05322270778277219,0.02796326310102647,0.06595039535372466
kanzi,artificl.csv,SVM,0.38991080664692684,0.19552056688227745,0.3804144256531525
kanzi,deepfield.csv,LinearRegression,17.671430968069846,18.791975329674717,29.048237558841123
kanzi,deepfield.csv,RandomForest,0.05053006933841763,0.7521635602377105,1.9749852239559036
kanzi,deepfield.csv,DecisionTree,0.0611365956273924,0.9210156672069152,2.8659818026752166
kanzi,deepfield.csv,SVM,4.942797435397524,20.195585647568585,41.79056039070758
kanzi,enwik8.csv,LinearRegression,2.587535380604226,39.5274757545591,62.357065740615305
kanzi,enwik8.csv,RandomForest,0.062354134680152364,1.508017423014586,3.629054817163913
kanzi,enwik8.csv,DecisionTree,0.06753045425750794,1.657598595353863,4.082700749995091
kanzi,enwik8.csv,SVM,1.6174957753456571,37.20990209279779,84.45924626758755
kanzi,fannie_mae_500k.csv,LinearRegression,4.055666252404108,34.788817656935045,53.904166047892524
kanzi,fannie_mae_500k.csv,RandomForest,0.06450584620980726,1.0071113452188,2.904859454622191
kanzi,fannie_mae_500k.csv,DecisionTree,0.0688338008221112,1.0967585089141008,3.7684817559123043
kanzi,fannie_mae_500k.csv,SVM,1.261733316863075,27.287264310609675,69.82082093848216
kanzi,large.csv,LinearRegression,1.3926887201587197,4.378354803272743,6.887894171849659
kanzi,large.csv,RandomForest,0.051790394182300116,0.1794434900054025,0.3905960098443495
kanzi,large.csv,DecisionTree,0.06121422383731919,0.20798757428417072,0.4736249577099059
kanzi,large.csv,SVM,0.922938133872671,4.002351211745252,9.229014130294255
kanzi,misc.csv,LinearRegression,0.4573614540077839,0.40381434332735644,0.6133132197487251
kanzi,misc.csv,RandomForest,0.04592551474036136,0.03630786061588329,0.06341750218691557
kanzi,misc.csv,DecisionTree,0.06406467343381578,0.050321447866018366,0.09564629730758069
kanzi,misc.csv,SVM,0.6093074502807863,0.4820261101943933,0.8847901978652543
kanzi,silesia.csv,LinearRegression,2.8726632952963143,82.26206452901307,129.5491850225234
kanzi,silesia.csv,RandomForest,0.06031008621003577,2.9806266612641834,7.147230494186964
kanzi,silesia.csv,DecisionTree,0.0666264208685746,3.366196650459211,8.680807936409659
kanzi,silesia.csv,SVM,1.6724566422919753,75.3013006117299,174.49471522233725
kanzi,vmlinux.csv,LinearRegression,28.807190820469426,162.7577926927062,220.93509932747415
kanzi,vmlinux.csv,RandomForest,0.06317148840526927,6.008889843327928,20.96068065217477
kanzi,vmlinux.csv,DecisionTree,0.07106766633113708,7.987595894111291,27.694424694915572
kanzi,vmlinux.csv,SVM,1.7429315513186456,114.62966369385111,304.20513181388543
lrzip,ambivert.wav.tar.csv,LinearRegression,1.4938087897325107,15.158962657789866,25.545045970751914
